"Source:";"D:\workspace\BKR01AT\BKR01AT\BKR01AT.sch"
"Date:";"27/02/2020 19:01:20"
"Tool:";"Eeschema (5.1.5)-3"
"Generator:";"D:\Arquivos de Programas\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:";"44"

"Individual Components:"

"Item";"Qty";"Reference(s)";"Value";"LibPart";"Footprint";"Datasheet";"Part Number"
"";"";"AE1";"Antenna";"Device:Antenna";"antena_ble:2450AT18B100";"~";"2450AT18B100E"
"";"";"BT1";"Battery_Cell";"Device:Battery_Cell";"Battery:BatteryHolder_MPD_BC2003_1x2032";"~";"CR2032R-HE1"
"";"";"C1";"1uF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"";"";"C2";"1uF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"";"";"C4";"4.7uF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"";"";"C5";"12pF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"";"";"C6";"100nF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"";"";"C7";"100nF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"";"";"C8";"12pF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"";"";"C9";"12pF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"";"";"C10";"100pF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"";"";"C11";"12pF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"";"";"C12";"N.C.";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"";"";"C13";"0.8pF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"";"";"C14";"100nF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"";"";"C15";"1.2pF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"";"";"C16";"10uF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"";"";"C17";"100nF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"";"";"D1";"Green LED";"Device:LED";"";"~";"150060VS75000"
"";"";"D2";"Red LED";"Device:LED";"";"~";"150060VS75000"
"";"";"D3";"Red LED";"Device:LED";"";"~";"150060RS75000"
"";"";"FID1";"Fiducial";"Mechanical:Fiducial";"";"~";""
"";"";"FID2";"Fiducial";"Mechanical:Fiducial";"";"~";""
"";"";"H1";"MountingHole";"Mechanical:MountingHole";"MountingHole:MountingHole_3.2mm_M3";"~";""
"";"";"H2";"MountingHole";"Mechanical:MountingHole";"MountingHole:MountingHole_3.2mm_M3";"~";""
"";"";"J1";"Conn_02x03_Odd_Even";"Connector_Generic:Conn_02x03_Odd_Even";"Connector:Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical";"~";""
"";"";"L1";"15nH";"Device:L_Small";"Inductor_SMD:L_0402_1005Metric";"~";""
"";"";"L2";"10uH";"Device:L_Small";"Inductor_SMD:L_0402_1005Metric";"~";""
"";"";"L3";"3.9nH";"Device:L_Small";"Inductor_SMD:L_0402_1005Metric";"~";""
"";"";"L4";"3.3nH";"Device:L_Small";"Inductor_SMD:L_0402_1005Metric";"~";""
"";"";"L5";"2.7nH";"Device:L_Small";"Inductor_SMD:L_0402_1005Metric";"~";""
"";"";"MCU1";"nRF52832-QFAB-R";"nrf52832-qfab-r:nRF52832-QFAB-R";"";"";"nRF52832-QFAB-R"
"";"";"R1";"33";"Device:R_Small_US";"Resistor_SMD:R_0402_1005Metric";"~";""
"";"";"R2";"33";"Device:R_Small_US";"Resistor_SMD:R_0402_1005Metric";"~";""
"";"";"R3";"33";"Device:R_Small_US";"Resistor_SMD:R_0402_1005Metric";"~";""
"";"";"R4";"10k";"Device:R_Small_US";"Resistor_SMD:R_0402_1005Metric";"~";""
"";"";"R5";"10k";"Device:R_Small_US";"Resistor_SMD:R_0402_1005Metric";"~";""
"";"";"R6";"10k";"Device:R_Small_US";"Resistor_SMD:R_0402_1005Metric";"~";""
"";"";"SW1";"SW_Push";"Switch:SW_Push";"";"~";"PTS636 SL43 LFS"
"";"";"SW2";"SW_Push";"Switch:SW_Push";"";"~";"PTS636 SL43 LFS"
"";"";"SW3";"SW_Push";"Switch:SW_Push";"";"~";"PTS636 SL43 LFS"
"";"";"U1";"LIS2DHTR";"Sensor_Motion:LIS2DHTR";"Package_LGA:LGA-14_2x2mm_P0.35mm_LayoutBorder3x4y";"";"LIS2DHTR"
"";"";"Y1";"32MHz";"Device:Crystal_Small";"Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm";"~";""
"";"";"Y2";"32.768kHz";"Device:Crystal_Small";"Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm";"~";""



"Collated Components:"

"Item";"Qty";"Reference(s)";"Value";"LibPart";"Footprint";"Datasheet";"Part Number"
"1";"1";"AE1";"Antenna";"Device:Antenna";"antena_ble:2450AT18B100";"~";"2450AT18B100E"
"2";"1";"BT1";"Battery_Cell";"Device:Battery_Cell";"Battery:BatteryHolder_MPD_BC2003_1x2032";"~";"CR2032R-HE1"
"3";"2";"C1; C2";"1uF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"4";"1";"C4";"4.7uF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"5";"4";"C5; C8; C9; C11";"12pF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"6";"4";"C6; C7; C14; C17";"100nF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"7";"1";"C10";"100pF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"8";"1";"C12";"N.C.";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"9";"1";"C13";"0.8pF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"10";"1";"C15";"1.2pF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"11";"1";"C16";"10uF";"Device:C_Small";"Capacitor_SMD:C_0402_1005Metric";"~";""
"12";"1";"D1";"Green LED";"Device:LED";"";"~";"150060VS75000"
"13";"2";"D2; D3";"Red LED";"Device:LED";"";"~";"150060VS75000"
"14";"2";"FID1; FID2";"Fiducial";"Mechanical:Fiducial";"";"~";""
"15";"2";"H1; H2";"MountingHole";"Mechanical:MountingHole";"MountingHole:MountingHole_3.2mm_M3";"~";""
"16";"1";"J1";"Conn_02x03_Odd_Even";"Connector_Generic:Conn_02x03_Odd_Even";"Connector:Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical";"~";""
"17";"1";"L1";"15nH";"Device:L_Small";"Inductor_SMD:L_0402_1005Metric";"~";""
"18";"1";"L2";"10uH";"Device:L_Small";"Inductor_SMD:L_0402_1005Metric";"~";""
"19";"1";"L3";"3.9nH";"Device:L_Small";"Inductor_SMD:L_0402_1005Metric";"~";""
"20";"1";"L4";"3.3nH";"Device:L_Small";"Inductor_SMD:L_0402_1005Metric";"~";""
"21";"1";"L5";"2.7nH";"Device:L_Small";"Inductor_SMD:L_0402_1005Metric";"~";""
"22";"1";"MCU1";"nRF52832-QFAB-R";"nrf52832-qfab-r:nRF52832-QFAB-R";"";"";"nRF52832-QFAB-R"
"23";"3";"R1; R2; R3";"33";"Device:R_Small_US";"Resistor_SMD:R_0402_1005Metric";"~";""
"24";"3";"R4; R5; R6";"10k";"Device:R_Small_US";"Resistor_SMD:R_0402_1005Metric";"~";""
"25";"3";"SW1; SW2; SW3";"SW_Push";"Switch:SW_Push";"";"~";"PTS636 SL43 LFS"
"26";"1";"U1";"LIS2DHTR";"Sensor_Motion:LIS2DHTR";"Package_LGA:LGA-14_2x2mm_P0.35mm_LayoutBorder3x4y";"";"LIS2DHTR"
"27";"1";"Y1";"32MHz";"Device:Crystal_Small";"Crystal:Crystal_SMD_2016-4Pin_2.0x1.6mm";"~";""
"28";"1";"Y2";"32.768kHz";"Device:Crystal_Small";"Crystal:Crystal_SMD_3215-2Pin_3.2x1.5mm";"~";""
